"Iteration","RepeatCount","InputStepsApprox","MacroText","Save219Sha256","Save219LastWriteTimeUtc","StartupWindowMilliseconds","MacroMilliseconds","MacroObservedUntilMilliseconds","CpuMilliseconds","ExpansionMilliseconds","InputHandoffMilliseconds","InputLoopMilliseconds","ErbMilliseconds","StringGenerationMilliseconds","DisplayBuildMilliseconds","DisplayAddMilliseconds","MeasureTextMilliseconds","RefreshMilliseconds","PaintMilliseconds","ScrollMilliseconds","UiEventMilliseconds","ExpandedInputCount","InputDispatchCount","ErbRunCount","RefreshCount","PaintCount","ScrollUpdateCount","UiEventPumpCount","StringGenerationCount","DisplayBuildCount","MeasureTextCount","AllocatedBytes","ManagedBytesBefore","ManagedBytesAfter","Gen0Collections","Gen1Collections","Gen2Collections","StateSha256","DisplaySha256","RandomCallCount","RandomTraceHash","WorkingSetBeforeBytes","WorkingSetAfterBytes","PeakWorkingSetBytes","Responding","WindowTitle"
"1","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5174.2","6283.823","15.2732","0","0.235","0.14","6281.237","6236.931","502.735","198.556","0.78","19.15","81.45","40.266","20.567","2.136","201","201","867","11075","31","30","231","3304023","9747","67277","1863177624","3343040352","3770630144","2","1","0","B9010F712D76A96175CC8FAC927C4067CE7C1389EEEFDD0C6206A1D889EE53B2","D5FC0BC988E2AA3ACF5EE32E713ACFBFCA61DBF9B96A989212DCFAE0C314D08E","4297","D02BC32C2937FF47","4766711808","4766703616","4766744576","True","ShinEraTenseiP 0.5.9"
"2","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4607.1","7030.039","4.8893","0","0.186","0.132","7027.609","6994.71","549.57","193.353","0.727","19.108","79.061","39.385","20.708","1.915","201","201","885","11110","31","31","232","3403892","9754","67535","1913964096","3656777208","3098159336","4","2","1","046B7D0A2F8F17C3AA480ED78A4D0436B0AFE7E8896BC169A58F85648B1FA8CF","0C02C90BEB6E9B2127AFB56F447F2668DFB9DCA86AF90CE154469DC5097383B8","4333","4D9FC534663D54E4","5032038400","5032038400","5032075264","True","ShinEraTenseiP 0.5.9"
"3","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4652.2","7236.007","4.5514","0","0.188","0.131","7231.171","7189.26","567.123","202.254","0.726","19.642","88.172","45.824","19.656","1.958","201","201","935","11493","33","33","234","3570361","10013","68619","1997023728","3773816112","3752168000","3","1","0","57D166E5F830EC18A91B5CECAC05AF7FF5E9AA0EA1CBAE5BBAD0AB707E97A465","3168295C75A0BED053DE4E9046D9230E364469FCBAE6B4F7600275620CAD0299","4491","7FBC385F988FA3AE","4706971648","4706971648","4706979840","True","ShinEraTenseiP 0.5.9"
