"Iteration","RepeatCount","InputStepsApprox","MacroText","Save219Sha256","Save219LastWriteTimeUtc","StartupWindowMilliseconds","MacroMilliseconds","MacroObservedUntilMilliseconds","CpuMilliseconds","ExpansionMilliseconds","InputHandoffMilliseconds","InputLoopMilliseconds","ErbMilliseconds","StringGenerationMilliseconds","DisplayBuildMilliseconds","DisplayAddMilliseconds","MeasureTextMilliseconds","RefreshMilliseconds","PaintMilliseconds","ScrollMilliseconds","UiEventMilliseconds","ExpandedInputCount","InputDispatchCount","ErbRunCount","RefreshCount","PaintCount","ScrollUpdateCount","UiEventPumpCount","StringGenerationCount","DisplayBuildCount","MeasureTextCount","AllocatedBytes","ManagedBytesBefore","ManagedBytesAfter","Gen0Collections","Gen1Collections","Gen2Collections","StateSha256","DisplaySha256","RandomCallCount","RandomTraceHash","WorkingSetBeforeBytes","WorkingSetAfterBytes","PeakWorkingSetBytes","Responding","WindowTitle"
"1","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5213.1","6566.498","15.0485","0","0.206","0.146","6563.996","6522.07","550.096","210.886","0.721","19.734","77.71","40.82","15.862","2.118","201","201","942","11580","31","30","231","3474927","10069","68469","1748541600","3083918696","3522298800","2","1","0","BE45E965B9EF4410FDD7967015CDD1D363F6D87AF94682C01AF330AFE1D7D579","80E51F2C851B852D198900160C7C2E12DEE7228B3645924F5D85B36B8D3AE4B3","4453","621848FD9D596F16","5495332864","5495332864","5495386112","True","ShinEraTenseiP 0.5.9"
"2","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5176.9","7321.259","5.6219","0","0.227","0.14","7317.915","7271.378","582.718","190.753","0.706","19.232","85.188","42.123","20.458","1.976","201","201","962","11468","34","34","235","3496179","9994","68153","1766417416","3665257408","4143470280","2","1","0","6E912F8B6C81CFDEC5659418E7620AD33A7D574922B76020E60F5294E2DFB928","43EE24880F5B91C14928F73E6A6E3CDC573144EAB0BF6F14732D200918F0A1F6","4499","E5DF76DD6365E069","4906934272","4906975232","4906975232","True","ShinEraTenseiP 0.5.9"
"3","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4587.1","6948.32","4.657","0","0.23","0.159","6944.99","6904.663","551.941","233.066","0.848","22.669","83.142","43.082","18.792","6.918","201","201","875","11192","32","32","233","3218372","9790","67299","1639043008","3760380752","4120937080","2","1","0","0B775AA568D19931F43603C55CE74B4D2DA0D329C5404E6410C9B000E8FD3AB6","133383D1790D759144DD0B9C674351C1D62CF07A398F97425D64672C00DE52D5","4236","1E933EB8F2548F36","4699828224","4699828224","4699865088","True","ShinEraTenseiP 0.5.9"
