"Iteration","RepeatCount","InputStepsApprox","MacroText","Save219Sha256","Save219LastWriteTimeUtc","StartupWindowMilliseconds","MacroMilliseconds","MacroObservedUntilMilliseconds","CpuMilliseconds","ExpansionMilliseconds","InputHandoffMilliseconds","InputLoopMilliseconds","ErbMilliseconds","StringGenerationMilliseconds","DisplayBuildMilliseconds","DisplayAddMilliseconds","MeasureTextMilliseconds","RefreshMilliseconds","PaintMilliseconds","ScrollMilliseconds","UiEventMilliseconds","ExpandedInputCount","InputDispatchCount","ErbRunCount","RefreshCount","PaintCount","ScrollUpdateCount","UiEventPumpCount","StringGenerationCount","DisplayBuildCount","MeasureTextCount","AllocatedBytes","ManagedBytesBefore","ManagedBytesAfter","Gen0Collections","Gen1Collections","Gen2Collections","StateSha256","DisplaySha256","RandomCallCount","RandomTraceHash","WorkingSetBeforeBytes","WorkingSetAfterBytes","PeakWorkingSetBytes","Responding","WindowTitle"
"1","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5359","6437.055","14.9947","0","0.193","0.134","6434.797","6399.138","582.532","220.257","0.759","19.176","71","36.259","16.152","1.822","201","201","904","11330","31","31","232","3308569","9895","67763","1582202888","3214182544","3495794040","2","1","0","C9F3D2FFEE0E8FB4E8B0BF660AF9021A8EDDFDF20F76F93E20CCE153E6B80618","25BCB24E96FF757B65E0B5F9AF427695853DF0FBB8F96F6037F0B89C7607C3C2","4308","782585078EFA6608","5345759232","5345751040","5345779712","True","ShinEraTenseiP 0.5.9"
"2","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4683.5","6887.503","5.0064","0","0.261","0.148","6881.848","6835.981","532.873","190.756","0.693","19.322","84.638","42.755","17.656","1.92","201","201","909","11289","33","32","233","3314927","9881","67689","1579919520","3665539856","3960341944","2","1","0","2DDD80108DF5A8CBF3544A984A6507FEA8E90C5C2822FB0D1D744BAEAC87E96A","CFA3A0AFBACD2130077763A51D83BD3D379BD52904CC93E019344D5AC7F41DE4","4314","16A60EA4950B74C5","4884606976","4884606976","4884647936","True","ShinEraTenseiP 0.5.9"
"3","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5041.7","6534.868","4.3553","15.6","0.215","0.141","6532.332","6492.44","550.9","219.972","0.761","19.807","75.082","40.444","16.309","1.933","201","201","900","11203","31","31","232","3366895","9804","67644","1595494584","3140818248","3397334272","2","1","0","697B97173A4CAF6A45B6A2BE0DC40D4FAF20B3FEB63A53BF5F65F084880BA153","9DE4C29B15B7F04C072F11B9B673B8604E38C9818BB2C48C41A330359297D1B2","4324","7EF305506C11698A","5444214784","5444214784","5444214784","True","ShinEraTenseiP 0.5.9"
