"Iteration","RepeatCount","InputStepsApprox","MacroText","Save219Sha256","Save219LastWriteTimeUtc","StartupWindowMilliseconds","MacroMilliseconds","MacroObservedUntilMilliseconds","CpuMilliseconds","ExpansionMilliseconds","InputHandoffMilliseconds","InputLoopMilliseconds","ErbMilliseconds","StringGenerationMilliseconds","DisplayBuildMilliseconds","DisplayAddMilliseconds","MeasureTextMilliseconds","RefreshMilliseconds","PaintMilliseconds","ScrollMilliseconds","UiEventMilliseconds","ExpandedInputCount","InputDispatchCount","ErbRunCount","RefreshCount","PaintCount","ScrollUpdateCount","UiEventPumpCount","StringGenerationCount","DisplayBuildCount","MeasureTextCount","AllocatedBytes","ManagedBytesBefore","ManagedBytesAfter","Gen0Collections","Gen1Collections","Gen2Collections","StateSha256","DisplaySha256","RandomCallCount","RandomTraceHash","WorkingSetBeforeBytes","WorkingSetAfterBytes","PeakWorkingSetBytes","Responding","WindowTitle"
"1","1000","4000","(H\e\nd\e\n)*1000","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5084.8","122255.93","14.3365","0","1.554","1.338","122252.073","57035.085","5905.886","1516.402","184.692","195.207","65219.439","5976.675","2147.681","37.004","2001","2001","9129","113516","6893","6805","8806","34120588","99301","681689","36868426208","3074536800","2983791992","2997","88","9","CF5364704F50D4F98AB0EF77ACFD6F722A0A14F54E327AFDA7A8292CD3139094","E2430E84F484A5B39E603EB1FBCE6EC3F3DE40642972500F94DF120F7BAF4E76","43496","8C59510213E704C2","3934322688","3934380032","4822048768","True","ShinEraTenseiP 0.5.9"
"2","1000","4000","(H\e\nd\e\n)*1000","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5221.3","122499.586","5.3898","0","0.237","1.417","122497.416","59121.876","6363.731","1669.429","188.971","215.097","63391.454","6866.161","2318.856","23.388","2001","2001","9101","113293","6869","6776","8777","33622612","99142","679216","36041930584","3641492032","2945146232","2944","87","11","504E455CE73A34FCF0C4C094C16238F102D50784E43B2E22B81A7B6D97264080","101EB05B745032FF0BEFA251D9C8B881B103E64963ECF94547A9D19AC4634F02","43298","5975812150F47FE8","3631620096","3631620096","4954976256","True","ShinEraTenseiP 0.5.9"
