"Iteration","RepeatCount","InputStepsApprox","MacroText","Save219Sha256","Save219LastWriteTimeUtc","StartupWindowMilliseconds","MacroMilliseconds","MacroObservedUntilMilliseconds","CpuMilliseconds","ExpansionMilliseconds","InputHandoffMilliseconds","InputLoopMilliseconds","ErbMilliseconds","StringGenerationMilliseconds","DisplayBuildMilliseconds","DisplayAddMilliseconds","MeasureTextMilliseconds","RefreshMilliseconds","PaintMilliseconds","ScrollMilliseconds","UiEventMilliseconds","ExpandedInputCount","InputDispatchCount","ErbRunCount","RefreshCount","PaintCount","ScrollUpdateCount","UiEventPumpCount","StringGenerationCount","DisplayBuildCount","MeasureTextCount","AllocatedBytes","ManagedBytesBefore","ManagedBytesAfter","Gen0Collections","Gen1Collections","Gen2Collections","StateSha256","DisplaySha256","RandomCallCount","RandomTraceHash","WorkingSetBeforeBytes","WorkingSetAfterBytes","PeakWorkingSetBytes","Responding","WindowTitle"
"1","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4916.3","6874.59","15.0329","15.6","0.233","0.154","6871.885","6836.85","499.046","213.659","0.754","21.684","92.407","47.851","19.16","1.844","201","201","924","11475","33","33","234","3212022","9998","67808","1535099240","3675140536","3997898288","2","1","0","B16CA5B623AB77410BC63B1D28DB56CFFCA2F3C60B5EC7B0CD36A1CC83055B18","E3C0527C0B4A104A47FC8466424E9CD2D5EA1BA370C1875A844394E2AF308759","4266","1EC02077A32E6909","5253009408","5253009408","5253009408","True","ShinEraTenseiP 0.5.9"
"2","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5083.2","7388.487","4.7514","0","0.28","0.155","7382.865","7348.197","527.322","235.6","0.841","22.715","97.406","52.703","19.365","1.535","201","201","956","11520","35","35","236","3466784","10026","68158","1639518512","3121599960","3852339600","1","1","0","AD5BA3771B502E7A9D886B0E09BE88239A70FE61C7F98A6F1BF454F2E715FE5B","CD8DE22921BCD7DD5FD19A7E0930A449B8966EEC8026881D569318267BD52A33","4479","AC5B6A972FE29746","5110468608","5110476800","5110476800","True","ShinEraTenseiP 0.5.9"
"3","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4800.5","8172.233","5.7315","0","0.388","0.184","8169.7","8116.116","565.363","237.962","0.975","23.087","107.768","49.984","31.83","4.306","201","201","908","11271","37","37","238","3383905","9860","67776","1608849512","3778786080","3736335480","2","1","0","CFF2CD909C2BBA6FF9A73841A7FF5D422311D342553D3758ACB3BEB88EB144BD","E6F438A2A3628F9306DB63CFA6332C708AAA95B91384AE5EB8AD02EC994F4F61","4372","4CE271E528F19A2A","5114363904","5114355712","5114363904","True","ShinEraTenseiP 0.5.9"
