"Iteration","RepeatCount","InputStepsApprox","MacroText","Save219Sha256","Save219LastWriteTimeUtc","StartupWindowMilliseconds","MacroMilliseconds","MacroObservedUntilMilliseconds","CpuMilliseconds","ExpansionMilliseconds","InputHandoffMilliseconds","InputLoopMilliseconds","ErbMilliseconds","StringGenerationMilliseconds","DisplayBuildMilliseconds","DisplayAddMilliseconds","MeasureTextMilliseconds","RefreshMilliseconds","PaintMilliseconds","ScrollMilliseconds","UiEventMilliseconds","ExpandedInputCount","InputDispatchCount","ErbRunCount","RefreshCount","PaintCount","ScrollUpdateCount","UiEventPumpCount","StringGenerationCount","DisplayBuildCount","MeasureTextCount","AllocatedBytes","ManagedBytesBefore","ManagedBytesAfter","Gen0Collections","Gen1Collections","Gen2Collections","StateSha256","DisplaySha256","RandomCallCount","RandomTraceHash","WorkingSetBeforeBytes","WorkingSetAfterBytes","PeakWorkingSetBytes","Responding","WindowTitle"
"1","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5369.5","7993.426","14.8834","15.6","1.205","0.178","7989.765","7934.726","634.129","237.39","0.874","22.96","98.127","54.927","19.223","0.991","201","201","890","11272","37","37","238","3403793","9879","67836","1620333144","3084614416","3659328864","2","1","0","CDC807E35B6D0DC3FCC13F07F7419836D4B7F12BC6CE8B40A745D79FB04AC221","9E94026FF98CD4F4CFE797376B933D00D7E416A33AA483C629E634EC9F85E33B","4369","254B8596C3D599C6","4995948544","4995948544","4995948544","True","ShinEraTenseiP 0.5.9"
"2","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","4850.8","7776.288","5.6743","0","0.268","0.178","7773.763","7714.12","832.047","223.193","0.842","22.79","109.271","54.844","27.583","1.947","201","201","927","11304","36","36","237","3527491","9863","67950","1659212592","3680132624","3973999920","2","1","0","1C7196C3C2DC4BDC78ED2BE7C696006B04D5549D1F508BC8380836AE98C56A5B","2A32BF8EF1A43514C9EFBBD59363942EF270CF0AED82D3C8B0C98F4753365B2E","4506","C07215A80D160F4F","5305909248","5305966592","5305966592","True","ShinEraTenseiP 0.5.9"
"3","100","400","(H\e\nd\e\n)*100","EDA8CA49F405D8C61C1E2572FE1510F1218D0ABCA1502E0E46B21C7699E62A14","2026-07-14T23:46:32.5201532Z","5024.6","7507.159","4.3196","15.6","0.31","0.161","7504.512","7453.856","593.518","217.909","0.746","22.608","92.021","44.726","23.762","1.603","201","201","873","11030","33","33","234","3430203","9714","67483","1618420056","3064187536","3836233552","2","1","0","CB73721013447450CD14170F4DCCE94FC9A91939206969487A37E533AB9DF144","D4EE70A45C3F57A40CEF7399405F7DBBB87CAA85DC9731D62240F16FD1030AE0","4352","E792B0E96A760FA1","5110620160","5110616064","5110652928","True","ShinEraTenseiP 0.5.9"
